taz,sum,max,min,mean,std,25p,50p,75p
576,316.6,7.5,0.0,1.88,1.52,0.75,1.55,3.0
577,213.55,5.0,0.0,1.27,1.16,0.4,1.0,2.0
578,1278.9,22.6,0.0,7.61,5.0,3.0,7.0,10.75
579,4350.15,72.25,3.4,25.89,15.11,16.39,23.5,33.75
580,901.5,15.5,0.2,5.37,3.79,2.0,4.9,8.29
581,611.55,12.75,0.0,3.64,2.8,1.36,3.1,5.43
582,2967.65,48.0,1.4,17.66,10.85,9.24,15.8,25.81
583,1435.3,20.0,1.2,8.54,4.11,5.71,7.9,11.5
584,1276.2,22.75,0.6,7.6,3.83,5.7,7.4,9.43
585,1717.25,26.5,0.25,10.22,6.17,6.1,9.22,14.6
586,2220.85,134.75,0.0,13.22,21.33,1.24,7.22,16.8
587,2441.9,43.0,1.25,14.54,8.46,9.15,12.6,18.56
588,1700.25,34.0,0.25,10.12,7.37,3.5,9.5,14.29
589,4326.7,208.5,2.0,25.75,28.72,10.02,17.25,29.62
590,2406.35,45.6,0.2,14.32,9.98,6.19,13.25,18.0
591,4077.5,122.75,0.2,24.27,25.01,5.9,17.0,32.0
592,2466.55,43.25,0.6,14.68,9.69,5.79,14.88,20.25
593,330.25,6.0,0.0,1.97,1.48,0.8,1.68,2.8
594,275.15,5.5,0.0,1.64,1.23,0.75,1.25,2.25
595,2179.05,42.5,0.2,12.97,9.47,4.9,11.7,18.2
596,1382.05,31.0,0.0,8.23,6.33,3.0,7.45,11.9
597,1700.2,31.0,0.0,10.12,6.17,4.79,10.25,13.4
598,1236.3,19.5,0.2,7.36,4.31,4.0,7.0,9.52
599,5412.25,91.75,2.6,32.22,18.07,17.0,33.45,42.56
600,1711.25,36.4,0.8,10.19,6.34,6.19,8.9,12.81
601,1588.4,31.25,0.2,9.45,5.98,4.94,9.55,13.4
602,1264.1,21.4,0.0,7.52,5.09,2.5,7.5,11.2
603,1813.1,27.5,0.8,10.79,5.77,7.0,9.6,12.64
604,2604.1,98.0,0.2,15.5,16.88,3.0,11.62,19.9
605,1497.6,45.75,0.0,8.91,8.77,2.0,6.5,11.56
606,703.6,14.0,0.0,4.19,3.37,1.5,3.5,5.8
607,477.85,10.25,0.0,2.84,2.38,1.0,2.2,4.43
608,4577.05,75.75,1.6,27.24,17.57,13.22,26.1,39.01
609,1142.9,19.75,0.0,6.8,4.71,2.55,6.68,10.5
